source_path,repo_root,file_type,priority_bucket,matched_terms,selection_reason,size_bytes,mtime_utc
/home/wilson/CEP_COMPRA/.obsidian/workspace.json,/home/wilson/CEP_COMPRA,json,others,cep|m3|master|xbar,matched_search_terms,8765,2026-02-13 17:20:34.493289948+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/entry_points.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,84,2026-02-13 17:16:42.608245611+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/AUTHORS.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,11731,2026-02-13 17:16:42.608360291+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/LICENSE.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,1093,2026-02-13 17:16:42.608407974+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/src/pip/_vendor/cachecontrol/LICENSE.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,558,2026-02-13 17:16:42.608492851+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/src/pip/_vendor/dependency_groups/LICENSE.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,1099,2026-02-13 17:16:42.608601570+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/src/pip/_vendor/distlib/LICENSE.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,14531,2026-02-13 17:16:42.608691454+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/src/pip/_vendor/idna/LICENSE.md,/home/wilson/CEP_COMPRA,md,others,cep,matched_search_terms,1541,2026-02-13 17:16:42.608842850+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip-26.0.1.dist-info/licenses/src/pip/_vendor/urllib3/LICENSE.txt,/home/wilson/CEP_COMPRA,txt,others,cep,matched_search_terms,1115,2026-02-13 17:16:42.609690428+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,355,2026-02-13 17:16:42.575127125+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/__main__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,854,2026-02-13 17:16:42.575202942+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/__pip-runner__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,1450,2026-02-13 17:16:42.575258493+00:00
