date,label_window,sinais_cep_master_xt,sinais_cep_stress_i,sinais_cep_stress_amp,sinais_cep_trend_run7,sinais_cep_daily_return_m6,sinais_cep_cash_ratio_m6,sinais_cep_rule_one_below_lcl,sinais_cep_rule_two_of_three_below_2sigma_neg,sinais_cep_xbar_t,sinais_cep_r_t,sinais_cep_xbar_lcl,sinais_cep_two_sigma_neg
2018-07-25,W1,0.0133399730668284,0,0,0,0.004462067205854403,0.0947422472851279,,,,,,
2018-07-26,W1,-0.0101865900299593,0,0,0,-0.02080004341959374,0.17923994105588406,,,,,,
2018-07-27,W1,0.0057888917303271,0,0,0,-0.01295668727351773,0.18163742289622792,,,,,,
2018-07-30,W1,0.0051204667834995,0,0,0,-0.002844460635637147,0.0,,,,,,
2018-07-31,W1,-0.0132419048826661,0,0,0,0.00583611866593281,0.10280239985918446,,,,,,
2018-08-01,W1,0.0010345568099541,0,0,0,0.014532873134865287,0.10135469682259632,,,,,,
2018-08-02,W1,0.0042154599699492,0,0,0,0.006656028616430776,0.10070928893860048,,,,,,
2018-08-03,W1,0.02232634705185,0,0,0,-0.004676667280206215,0.2059626856710529,,,,,,
2018-08-06,W1,-0.0047265698570281,0,0,0,-0.00043270916759863276,0.0,,,,,,
2018-08-07,W1,-0.0087238313341513,0,0,0,0.001784815175133847,0.09862397443379854,,,,,,
2018-08-08,W1,-0.0149847003489917,0,0,0,0.0002211345238285478,0.09862640946134045,,,,,,
2018-08-09,W1,-0.0048632314695079,0,0,0,-0.001224043370081862,0.09877155545919082,,,,,,
2018-08-10,W1,-0.0290330923910602,0,0,0,-0.007704751869960225,0.19134811785419353,,,,,,
2018-08-13,W1,0.0127525914992992,0,0,0,0.006044122834786947,0.0,,,,,,
2018-08-14,W1,0.0141708222799719,0,0,0,0.006672219857632333,0.08266503633537788,,,,,,
2018-08-15,W1,-0.0195792482625024,0,0,0,-0.00627731872291204,0.08320767900255298,,,,,,
2018-08-16,W1,-0.0033658907518963,0,0,0,0.0009497133596885199,0.08314916607241622,,,,,,
2018-08-17,W1,-0.0103371589386896,0,0,0,0.002720225699525125,0.18604077595113003,,,,,,
2018-08-20,W1,0.0039249969985774,0,0,0,0.007553969232109381,0.0,,,,,,
2018-08-21,W1,-0.0151546053135129,0,0,0,-0.0014491305782712294,0.0,,,,,,
2018-08-22,W1,0.0226466458397099,0,0,0,0.004401562521269886,0.10026015484820358,,,,,,
2018-08-23,W1,-0.0166259664411953,0,0,0,0.0003005147406227593,0.10025467379477823,,,,,,
2018-08-24,W1,0.008268862619686,0,0,0,0.006155615611535659,0.09966581495476522,,,,,,
2018-08-27,W1,0.0216362077012369,0,0,0,-0.001585290099299419,0.0,,,,,,
2018-08-28,W1,-0.0058814992938257,0,0,0,-0.0007504335558961017,0.07411255516545426,,,,,,
2018-08-29,W1,0.0117541228284445,0,0,0,0.0056128022072190475,0.07371701522910305,,,,,,
2018-08-30,W1,-0.0256485605671997,0,0,0,-0.01505552975200175,0.07486222757755177,,,,,,
2018-08-31,W1,0.0035797845939542,0,0,0,-0.0036997100697512275,0.07515869634465284,,,,,,
2018-09-03,W1,-0.0063452404610139,0,0,0,-0.0077434032656198415,0.0,,,,,,
2018-09-04,W1,-0.0196288731484121,0,0,0,-0.015369064517452347,0.09924281559816128,,,,,,
2018-09-05,W1,0.005073306654699,0,0,0,0.009424533225344645,0.2884925004180602,,,,,,
2018-09-06,W1,0.0174780698679664,0,0,0,0.0077136074236716645,0.2863545936103626,,,,,,
2018-09-10,W1,0.0002616910490426,0,0,0,0.001780691544960078,0.0,,,,,,
