date,drawdown
2018-09-03,-0.11424275565956121
2018-09-04,-0.1285542694037426
2018-09-05,-0.12492512778178788
2018-09-06,-0.12280054045749833
2018-09-10,-0.11922075545505473
2018-09-11,-0.13125857273749608
2018-09-12,-0.12806180123165922
2018-09-13,-0.13592388148147694
2018-09-14,-0.13608886839143253
2018-09-17,-0.13261174297813227
2018-09-18,-0.14341016278012741
2018-09-19,-0.14907295555983757
2018-09-20,-0.10921552645743704
2018-09-21,-0.0992757371605546
2018-09-24,-0.1026168699405785
2018-09-25,-0.09559257627895335
2018-09-26,-0.09149015438554065
2018-09-27,-0.0883795882190932
2018-09-28,-0.09213127329798143
2018-10-01,-0.09564009495631731
2018-10-02,-0.08428750501320259
2018-10-03,-0.0685130429679841
2018-10-04,-0.05202286196808137
