mecanismo,event_date,next_event_date,u_star,u_exec,regret_t,s_star,s_exec
M0,2018-11-19,2018-11-26,1.266631592696983,-1.1820091822769323,2.4486407749739154,"BMEB3,CBEE3,RPMG3,RCSL3,FRIO3,RCSL4,SAPR3,LPSB3,PATI4,HETA4","PATI3,PETR3,ITUB4,ITUB3,CLSC3,FESA3,AZEV4,SNSY5,LOGN3,RANI3"
M0,2018-11-26,2018-12-03,1.4154017473843095,0.11245025074553305,1.3029514966387765,"INEP3,BALM4,CPLE3,CTNM3,USIM5,LOGN3,BMEB4,SAPR3,RCSL3,GOAU4","PETR3,ETER3,VIVR3,AZEV4,PPLA11,CMIG3,CTNM3,RANI3,LOGN3,CMIG4"
M0,2018-12-03,2018-12-10,1.0414195246303302,-0.40860980468898234,1.4500293293193125,"RNEW3,LOGN3,HETA4,DTCY3,TRIS3,RPAD6,HBOR3,EVEN3,SNSY5,RNEW4","ETER3,PETR3,BALM4,PLAS3,BRSR5,VIVR3,CTNM3,PPLA11,CMIG3,CPLE3"
M0,2018-12-10,2018-12-17,1.3468541813235748,0.1673279556086165,1.1795262257149584,"BAUH4,LUPA3,LPSB3,PRIO3,MILS3,USIM5,MWET4,CRPG5,MGEL4,SNSY5","ETER3,PETR3,CBEE3,SNSY5,VIVR3,PPLA11,CMIG3,JHSF3,LOGN3,SAPR3"
M0,2018-12-17,2018-12-26,1.2080731686978146,0.2821000296421891,0.9259731390556254,"LUXM4,DOHL4,VIVR3,PDGR3,PLAS3,CMIG3,PSVM11,CRPG3,CRPG6,CLSC3","CBEE3,ETER3,PETR3,PSVM11,VIVR3,PPLA11,BAUH4,LPSB3,CMIG3,EVEN3"
M0,2018-12-26,2019-01-02,2.349359454121175,0.39067709933577865,1.9586823547853964,"GSHP3,LUXM4,SGPS3,AXIA6,USIM6,CTNM4,RCSL4,TCSA3,AXIA5,TELB4","ETER3,PSVM11,PETR3,AZEV3,BRSR5,LOGG3,PLAS3,MILS3,CMIG3,SAPR3"
M0,2019-01-02,2019-01-07,1.7181995802849057,-0.0493194116510196,1.7675189919359253,"TELB4,CTNM3,TELB3,AXIA3,JOPA4,RCSL4,OIBR3,AXIA5,BEES4,TPIS3","CBEE3,PETR3,USIM6,PLAS3,CMIG3,MILS3,LPSB3,SAPR3,LOGN3,EVEN3"
M0,2019-01-07,2019-01-14,3.8807368333060084,0.3419269574201549,3.5388098758858533,"PDGR3,MGEL4,LOGG3,SAPR3,ENGI3,OSXB3,BMEB3,CLSC3,EALT4,NUTR3","PETR3,PATI4,VIVR3,MILS3,MSPA3,CMIG3,LOGN3,LPSB3,BMIN4,MGEL4"
M0,2019-01-14,2019-01-21,2.526963441490145,0.6487573089137453,1.8782061325764,"MWET4,AZEV3,WLMM3,MILS3,INEP4,SNSY5,AZEV4,CGAS5,CGAS3,INEP3","CBEE3,PETR3,SNSY5,LOGG3,MGEL4,CRPG3,SAPR3,MILS3,CTNM3,LOGN3"
M0,2019-01-21,2019-01-28,1.888060732423949,0.08823608349189102,1.799824648932058,"MTSA3,PSVM11,ENGI3,TXRX4,PLAS3,EGIE3,MNPR3,USIM6,MRVE3,PCAR3","PETR3,PSVM11,SNSY5,ETER3,CRPG3,MWET4,MILS3,MGEL4,TELB3,SAPR3"
M0,2019-01-28,2019-02-04,1.73138000648028,0.38564077778157907,1.3457392286987009,"PLAS3,PSVM11,PATI4,SAPR3,LUXM4,NORD3,BDLL4,BNBR3,MBRF3,ALUP4","USIM6,PATI3,PETR3,JOPA3,ETER3,ENMT4,SOND6,MILS3,BRSR5,SAPR3"
M0,2019-02-04,2019-02-11,1.2214159118066918,0.2271959827383418,0.99421992906835,"BPAC3,BMIN3,PATI4,SNSY5,PLAS3,CTNM3,EALT3,PFRM3,CEDO4,KEPL3","PATI3,CBEE3,PETR3,PATI4,SNSY5,BAUH4,SAPR3,CTNM3,BPAC5,MILS3"
M0,2019-02-11,2019-02-18,4.692771797487865,0.7742377564427317,3.918534041045133,"INEP3,INEP4,MERC3,BPAC3,AHEB3,CEGR3,PINE4,PRIO3,SNSY5,LOGN3","BALM4,PETR3,SNSY5,PLAS3,WLMM3,BAUH4,BPAC3,MILS3,RPAD5,MGEL4"
M0,2019-02-18,2019-02-25,1.7103096441538987,-0.37379797384070623,2.084107617994605,"CEED4,CSNA3,BPAR3,CEED3,BSLI4,OIBR3,LUPA3,CEBR5,GSHP3,BMEB4","PETR3,PSVM11,PLAS3,BMIN4,BPAC5,MILS3,SAPR3,BAUH4,GSHP3,TRIS3"
M0,2019-02-25,2019-03-06,2.135556080399679,-0.1574248218256814,2.2929809022253607,"BMIN4,RPAD3,PATI3,BMIN3,MRSA3B,AXIA5,CSNA3,PPLA11,POMO3,RPAD6","PLAS3,PETR3,CEED4,ENMT4,BPAC3,INEP3,INEP4,GSHP3,MWET4,MGEL4"
M0,2019-03-06,2019-03-11,1.2057218089990933,-0.056160003076746824,1.2618818120758402,"BBDC4,BBDC3,BALM4,DTCY3,EALT3,VIVR3,TRIS3,RNEW3,LIGT3,BEEF3","PLAS3,PETR3,LUXM4,INEP4,INEP3,RPAD5,GSHP3,CRPG3,MWET4,BAUH4"
